Source,Venue Name,Street Address 1,Suburb,State,Postcode,Full Address,LGA,Metro / Regional,M/OM/R,Tourism Area,Contact Person First Name,Contact Person Surname,Contact Person Email,Contact Person Phone,General Email,General Phone,Website,Role,Venue Capacity,Venue Size,Venue Subdivision (as per APRA),Live,DJ,Venue Category,MV Determined Performance Type,Licence Type,Trading Hours,Frequency of Music Presentation,Presentation Classification,Booker,Sound Engineer,Cover Charge,Artist Payment,As per NSW definitions,As per UK definitions,Grouping,Group Definition,ABN,GST,TAGS,Lat,Long,GLat,GLong,Geocode Latitude,Geocode Longitude
VLMVA,22 Whitehart,Ground And First Floor 22 Whitehart Lane,Melbourne,VIC,3000.0,Ground And First Floor 22 Whitehart Lane Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,drink@whitehartbar.com.au,+61 3 9602 2260,https://www.whitehartbar.com.au/,Venue,300,Medium,,,,Under 500,,On-Premises Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.813016,144.96195,-37.8131755,144.9620347,-37.8131755,144.9620347
VLMVA,24 Moons,1st Floor 2 Arthurton Road,Northcote,VIC,3070.0,1st Floor 2 Arthurton Road Northcote VIC 3070 ,Darebin City Council,Metro,Metro,Melbourne,Ali,Davidson,ali@keplersyard.com,+61 406 777 807,info@24moons.com.au,+61 3 9486 5567,https://www.24moons.com.au/,Venue,290,Medium,Night Club,Live,DJ,Under 500,DJs,Late-Night (On-Premises) Licence,Trading to 5am,2 or more a week,Dedicated presenters: More than 1 a week,"Yes, and it is a paid role","Yes, and it is a paid role",YES,,Live Music Venue,Small GMV,Group B,Group B – Venues hosting 1 or more gig per week,64 631 729 658,Yes,Venues,-37.76914803,144.9982808,-37.769148,144.9982808,-37.769148,144.9982808
VLMVA,29th Apartment,Tenancy 3 29 Fitzroy Street,St Kilda,VIC,3182.0,Tenancy 3 29 Fitzroy Street St Kilda VIC 3182 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,info@29thapartment.com.au,+61 3 8506 0765,29thapartment.com.au,Venue,170,Small,,,,Under 500,,Late-Night (On-Premises) Licence,Trading to 3am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,Yes,Venues,-37.862007,144.974127,-38.1985492,146.5355038,-38.1985492,146.5355038
VLMVA,Bar 303,303 High Street,Northcote,VIC,3070.0,303 High Street Northcote VIC 3070 ,Darebin City Council,Metro,Metro,Melbourne,Jack,Moynihan,bar303@gmail.com,+61 410 544 272,bar303@gmail.com,+61 3 9482 4577,https://303.net.au/,Venue,50,Small,Bar,Live,,Under 500,Originals,Late-Night (On-Premises) Licence,No Data,4 or more a week,Dedicated presenters: More than 1 a week,"Yes, and it is paid role","Yes, and it is a paid stand alone role",YES,100% of door/ pre-sale tickets. Regular guarantees of $250 to $1000,Dedicated Live Music Venue,Small GMV,Group A,Group A – Venues hosting 2 or more gigs per week,32 725 343 834,Yes,Venues,-37.77134,144.998403,-38.2681483,144.5245034,-38.2681483,144.5245034
VLMVA,4 Pines Torquay,Shops 1 & 2 61 Geelong Road,Torquay,VIC,3230.0,Shops 1 & 2 61 Geelong Road Torquay VIC 3230 ,Surf Coast Shire Council,Regional,Regional,Great Ocean Road,,,,,,,,Venue,No Data,No Data,,,,Under 500,,General Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-38.32622991,144.3171207,-38.3266921,144.3168109,-38.3266921,144.3168109
VLMVA,48 Main,48 Main St,Maldon,VIC,3463.0,48 Main St Maldon VIC 3463 ,Mount Alexander Shire Council,Regional,Regional,Goldfields,,,,,lmcmahon849@gmail.com,0452 577 369,,Venue,60,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.99734831,144.0693316,-37.8342236,144.9817934,-37.8342236,144.9817934
VLMVA,56 Bricks,56 Chapel Street,Windsor,VIC,3181.0,56 Chapel Street Windsor VIC 3181 ,Stonnington City Council,Metro,Metro,Melbourne,,,,,,,,Venue,93,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.855793,144.992801,-36.865676,147.2805286,-36.865676,147.2805286
GIGS,645 Penny Lane,645 Centre Road,Bentleigh East,VIC,3165.0,645 Centre Road Bentleigh East VIC 3165 ,Glen Eira City Council,Metro,Metro,Melbourne,Liam,Dimattina,645pennylane@gmail.com,+61 401 428 147,,,,Venue,64,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,No,Not required,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,27 207 633 915,Yes,Venues,-37.92011335,145.0527984,-36.1305287,144.7508632,-36.1305287,144.7508632
VLMVA,81 Taphouse,81 High Street,Berwick,VIC,3806.0,81 High Street Berwick VIC 3806 ,Casey City Council,Metro,Outer Metro,Melbourne,,,,,info@eightyone.com.au,+61 3 9768 9555,eightyone.com.au,Venue,40,Small,Restaurant or Cafe,Live,,Under 500,,On-Premises Licence,Ordinary Trading Hours,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.780303,144.99661,-37.8417288,144.860316,-37.8417288,144.860316
VLMVA,A Gaggle Of Geese,97B High Street,Heathcote,VIC,3523.0,97B High Street Heathcote VIC 3523 ,Greater Bendigo City Council,Regional,Regional,Goldfields,,,,,gaggleofgeeseheathcote97@gmail.com,+61 3 5433 2735,,Venue,100,Small,,,,Under 500,,General Licence,Ordinary Trading Hours,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-36.9236,144.7083,-37.8677035,144.9787316,-37.8677035,144.9787316
APRA,Abbey Road Cafe,129-131 Acland Street,St Kilda,VIC,3182.0,129-131 Acland Street St Kilda VIC 3182 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,,,,Venue,259,Medium,Restaurant or Cafe,Live,,Under 500,,Restaurant and Cafe Licence,Trading to 3am,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86858162,144.9795001,-37.1459769,146.4489564,-37.1459769,146.4489564
VLMVA,Abominable Restaurant,Lot 106 Summit Road,Mount Buller,VIC,3723.0,Lot 106 Summit Road Mount Buller VIC 3723 ,Mansfield Shire Council,Regional,Regional,High Country,,,,,,,,Venue,1100,Large,,,,500+,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.14588279,146.4402256,-37.7661714,144.9724755,-37.7661714,144.9724755
VLMVA,Abruzzo Club,375-381 Lygon Street,Brunswick East,VIC,3057.0,375-381 Lygon Street Brunswick East VIC 3057 ,Merri-Bek City Council,Metro,Metro,Melbourne,,,,,,,,Venue,908,Medium,,,,500+,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.766174,144.9725,-37.835319,144.9619407,-37.835319,144.9619407
VLMVA,Adela Vanberg,Ground & First Floor 345 Clarendon Street,South Melbourne,VIC,3205.0,Ground & First Floor 345 Clarendon Street South Melbourne VIC 3205 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,hello@adelavanberg.com.au,+61 477 350 847,https://adelavanberg.com.au,Venue,200,Small,,,,Under 500,,Late-Night (On-Premises) Licence,Trading to 3am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.835329,144.961916,-37.7982664,144.9761891,-37.7982664,144.9761891
VLMVA,Adelphi Hotel,187 Flinders Lane,Melbourne,VIC,3000.0,187 Flinders Lane Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,info@adelphi.com.au,+613 80808888,https://adelphi.com.au/,Venue,140,Small,,,,Under 500,,Late-Night (General) Licence,Trading to 7am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.816226,144.968293,-38.2389112,146.409661,-38.2389112,146.409661
VLMVA,Al Pachino Lounge,249 Bay St,Port Melbourne,VIC,3207.0,249 Bay St Port Melbourne VIC 3207 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,,,,Venue,40,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.837851,144.942699,-36.1241942,144.7480906,-36.1241942,144.7480906
VLMVA,Albert Park Yachting & Angling Club,Beaconsfield Parade,Albert Park,VIC,3206.0,Beaconsfield Parade Albert Park VIC 3206 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,admin@apyac.org.au,+61 3 9690 5530,https://apyac.org.au,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.83941708,144.9669446,-37.8561991,145.01987,-37.8561991,145.01987
VLMVA,Alberts Wine Bar,17 Morey St,Armadale,VIC,3143.0,17 Morey St Armadale VIC 3143 ,Stonnington City Council,Metro,Metro,Melbourne,,,,,,,,Venue,82,Small,,,,Under 500,,General Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.8561991,145.01987,-37.8227405,144.9893028,-37.8227405,144.9893028
APRA,Albion,172 York Street,South Melbourne,VIC,3205.0,172 York Street South Melbourne VIC 3205 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,,,,Venue,674,Medium,Hotel,,DJ,500+,,Late-Night (General) Licence,Trading to 5am,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.83157702,144.9560202,-37.986015,145.213714,-37.986015,145.213714
VLMVA,Albion Football Club Sports Club,J R Parsons Reserve Stanford Street,Sunshine,VIC,3020.0,J R Parsons Reserve Stanford Street Sunshine VIC 3020 ,Brimbank City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.7958312,144.8349278,-37.5840795,141.4067236,-37.5840795,141.4067236
VLMVA,Albion Hotel Casterton,25 Henty Street,Casterton,VIC,3311.0,25 Henty Street Casterton VIC 3311 ,Glenelg Shire Council,Regional,Regional,Grampians,,,,,,,,Venue,319,Medium,,,,Under 500,,General Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.58403734,141.4067538,-37.7997293,144.9845259,-37.7997293,144.9845259
VLMVA,Albion Hotel Collingwood,314 Smith Street,Collingwood,VIC,3066.0,314 Smith Street Collingwood VIC 3066 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,150,Small,,,,Under 500,,Late-Night (General) Licence,Trading to 3am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.79966095,144.9844435,-38.0882781,144.360953,-38.0882781,144.360953
APRA,Albion Hotel Dandenong,327 Lonsdale Street,Dandenong,VIC,3175.0,327 Lonsdale Street Dandenong VIC 3175 ,Greater Dandenong City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,360,Medium,Hotel,Live,,Under 500,,Late-Night (General) Licence,Trading to 3am,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.98588378,145.2135486,-37.7988759,144.9485873,-37.7988759,144.9485873
VLMVA,Albion Hotel Kyneton,41 Mollison Street,Kyneton,VIC,3444.0,41 Mollison Street Kyneton VIC 3444 ,Macedon Ranges Shire Council,Regional,Regional,Daylesford and Macedon Ranges,,,,,,,,Venue,200,Small,,,,Under 500,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.25109839,144.4526628,-37.813457,145.235331,-37.813457,145.235331
VLMVA,Albion Hotel North Melbourne,171 Curzon Street,North Melbourne,VIC,3051.0,171 Curzon Street North Melbourne VIC 3051 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,Albionnthmelb@gmail.com,+61 3 9326 6575,https://www.facebook.com/AlbionHotelNorthMelbourne/,Venue,100,Small,,,,Under 500,,General Licence,Trading to 12 Midnight,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.798879,144.9485744,-37.812413,144.968748,-37.812413,144.968748
VLMVA,Alexandra Hotel,64 Grant Street,Alexandra,VIC,3714.0,64 Grant Street Alexandra VIC 3714 ,Murrindindi Shire Council,Regional,Regional,Yarra Valley and Dandenong Ranges,,,,,info@alexandrahotel.net.au,03 5700 2214,https://www.alexandrahotel.net.au/,Venue,300,Medium,,,,Under 500,,General Licence,Trading to 1am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.19153313,145.7093021,-37.8132799,144.9953202,-37.8132799,144.9953202
APRA,ALH Hotels (Live Performances),"2, 10 Yarra Street",South Yarra,VIC,3141.0,"2, 10 Yarra Street South Yarra VIC 3141 ",Melbourne City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,Hotel,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-37.838,144.9988,-36.7582715,144.3115375,-36.7582715,144.3115375
VLMVA,All Nations Hotel,64 Lennox Street,Richmond,VIC,3121.0,64 Lennox Street Richmond VIC 3121 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,225,Small,,,,Under 500,,General Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.813246,144.995295,-37.8694465,144.9802119,-37.8694465,144.9802119
VLMVA,All Seasons Quality Resort Bendigo,171 - 183 Mcivor Road,Bendigo,VIC,3550.0,171 - 183 Mcivor Road Bendigo VIC 3550 ,Greater Bendigo City Council,Regional,Regional,Goldfields,,,,,,,,Venue,534,Medium,Motel or Resort,Live,,500+,,Late-Night (On-Premises) Licence,Trading to 3am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.7653,144.287,-36.7281867,146.9605324,-36.7281867,146.9605324
VLMVA,Allies Hotel,Loddon Valley Highway,Myers Flat,VIC,3556.0,Loddon Valley Highway Myers Flat VIC 3556 ,Greater Bendigo City Council,Regional,Regional,Goldfields,,,,,allieshotel@gmail.com,+61 3 5446 8291,,Venue,50,Small,,,,Under 500,,General Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.70633278,144.2199384,-36.3088037,146.8442444,-36.3088037,146.8442444
APRA,Alpine Hotel,7-9 Anderson Street,Bright,VIC,3741.0,7-9 Anderson Street Bright VIC 3741 ,Alpine Shire Council,Regional,Regional,High Country,,,,,,,,Venue,580,Medium,Hotel,Live,,500+,,General Licence,Trading to 1am,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.7279857,146.9604682,-37.81639,144.9547762,-37.81639,144.9547762
VLMVA,Alpine Retreat Hotel,3340 Warburton Highway,Warburton,VIC,3799.0,3340 Warburton Highway Warburton VIC 3799 ,Yarra Ranges Shire Council,Regional,Outer Metro,Yarra Valley and Dandenong Ranges,,,,,rachael@alpineretreat.com.au,0417 532 246,https://alpineretreat.com.au/,Venue,343,Medium,,,,Under 500,,General Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,"Yes, and it is a paid role","Yes, and it is a paid role",,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,52 626 071 852,Yes,Venues,-37.7551411,145.6833585,-37.863784,144.8319936,-37.863784,144.8319936
VLMVA,Alto Hotel On Bourke,636 Bourke Street,Melbourne,VIC,3000.0,636 Bourke Street Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,stay@altohotel.com.au,+61386085500,https://www.altohotel.com.au/,Venue,125,Small,,,,Under 500,,On-Premises Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.81643376,144.9547794,-37.5130708,149.7718067,-37.5130708,149.7718067
VLMVA,Altona Bowling Club,113 Civic Parade,Altona,VIC,3018.0,113 Civic Parade Altona VIC 3018 ,Hobsons Bay City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86423673,144.8324823,-37.8417288,144.860316,-37.8417288,144.860316
VLMVA,Altona Lakes Golf Course,Paisley Park Mason Street,Altona North,VIC,3025.0,Paisley Park Mason Street Altona North VIC 3025 ,Hobsons Bay City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,On-Premises Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.83939114,144.8551249,-37.8677656,144.8286534,-37.8677656,144.8286534
VLMVA,Altona North Bowls Club,Paisley Park Mason Street,Altona North,VIC,3025.0,Paisley Park Mason Street Altona North VIC 3025 ,Hobsons Bay City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.841183,144.860702,-37.8641665,144.8480351,-37.8641665,144.8480351
VLMVA,Altona RSL Sub Branch,31 Sargood Street,Altona,VIC,3018.0,31 Sargood Street Altona VIC 3018 ,Hobsons Bay City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86747514,144.8288382,-37.0579831,146.0885719,-37.0579831,146.0885719
VLMVA,Altona Sports Club,11 Altona Road,Seaholme,VIC,3018.0,11 Altona Road Seaholme VIC 3018 ,Hobsons Bay City Council,Metro,Metro,Melbourne,,,,,reception@altonasportsclub.com.au,+61 3 9398 2283,altonasportsclub.com.au,Venue,2296,Large,,,,500+,,Full Club Licence,Full Club Licence,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86407882,144.8493026,-37.803127,144.97743,-37.803127,144.97743
VLMVA,Alzburg Resort,39 Malcolm Street,Mansfield,VIC,3722.0,39 Malcolm Street Mansfield VIC 3722 ,Mansfield Shire Council,Regional,Regional,High Country,,,,,,,,Venue,520,Medium,,,,500+,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-37.05834643,146.0893227,-37.4249581,143.8945515,-37.4249581,143.8945515
VLMVA,Amarillo Fitzroy,149 Brunswick Street,Fitzroy,VIC,3065.0,149 Brunswick Street Fitzroy VIC 3065 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,49,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.803127,144.97743,-36.7576998,144.2816977,-36.7576998,144.2816977
